--- 2026-06-25 02:51:52 ---
Name: agent-tool-host | ID: 25280 | Path: c:\Users\sharm\AppData\Local\Programs\Trae\resources\app\modules\ai-agent\bin\agent-tool-host.exe
Name: cmd | ID: 32508 | Path: C:\WINDOWS\system32\cmd.exe
Name: cmd | ID: 32816 | Path: C:\WINDOWS\system32\cmd.exe
Name: Code | ID: 2360 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 8520 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 18468 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 20308 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 21400 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 23528 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 25320 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 28544 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: Code | ID: 28964 | Path: C:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\Code.exe
Name: collector_service | ID: 5528 | Path: C:\Program Files\Intel\CollectorService\collector_service.exe
Name: conhost | ID: 1608 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 3044 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 6304 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 7000 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 7360 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 7584 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 7740 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 7992 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 9268 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 9360 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 16504 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 19380 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 20156 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 24168 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 25296 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 26396 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 30848 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 31812 | Path: C:\WINDOWS\system32\conhost.exe
Name: conhost | ID: 31964 | Path: C:\WINDOWS\system32\conhost.exe
Name: cowork-svc | ID: 7552 | Path: C:\Program Files\WindowsApps\Claude_1.14271.0.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe
Name: CrossDeviceResume | ID: 10892 | Path: C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
Name: CrossDeviceService | ID: 11736 | Path: C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26042.110.0_x64__cw5n1h2txyewy\CrossDeviceService.exe
Name: csrss | ID: 1116 | Path: 
Name: csrss | ID: 1228 | Path: 
Name: ctfmon | ID: 15132 | Path: C:\WINDOWS\system32\ctfmon.exe
Name: ctfmon | ID: 33132 | Path: 
Name: dasHost | ID: 1928 | Path: C:\WINDOWS\system32\dashost.exe
Name: dasHost | ID: 8036 | Path: C:\WINDOWS\system32\dashost.exe
Name: DesktopExtension | ID: 21788 | Path: C:\Program Files\WindowsApps\AD2F1837.myHP_57.52623.7882.0_x64__v10z8vjag6ke6\win32\DesktopExtension.exe
Name: DiagsCap | ID: 3520 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_db0ee1e66e6d408e\x64\DiagsCap.exe
Name: dllhost | ID: 6316 | Path: C:\WINDOWS\system32\DllHost.exe
Name: dllhost | ID: 21352 | Path: C:\WINDOWS\SysWOW64\DllHost.exe
Name: dllhost | ID: 26100 | Path: C:\WINDOWS\system32\DllHost.exe
Name: DSAService | ID: 5184 | Path: C:\Program Files (x86)\Intel\Driver and Support Assistant\x86\DSAService.exe
Name: DSATray | ID: 8560 | Path: C:\Program Files (x86)\Intel\Driver and Support Assistant\x86\DSATray.exe
Name: DSAUpdateService | ID: 5220 | Path: C:\Program Files (x86)\Intel\Driver and Support Assistant\x86\DSAUpdateService.exe
Name: dwm | ID: 1980 | Path: C:\WINDOWS\system32\dwm.exe
Name: EdgeGameAssist | ID: 21300 | Path: C:\Program Files\WindowsApps\Microsoft.Edge.GameAssist_1.0.4019.0_x64__8wekyb3d8bbwe\EdgeGameAssist.exe
Name: esrv | ID: 20840 | Path: C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe
Name: esrv_svc | ID: 1568 | Path: C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv_svc.exe
Name: ETDCtrl | ID: 7192 | Path: C:\WINDOWS\system32\ETDCtrl.exe
Name: ETDService | ID: 5236 | Path: C:\WINDOWS\System32\ETDService.exe
Name: explorer | ID: 10484 | Path: C:\WINDOWS\Explorer.EXE
Name: fdm | ID: 18764 | Path: C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe
Name: FileCoAuth | ID: 30636 | Path: C:\Program Files\Microsoft OneDrive\26.098.0524.0004\FileCoAuth.exe
Name: fontdrvhost | ID: 1548 | Path: C:\WINDOWS\system32\fontdrvhost.exe
Name: fontdrvhost | ID: 1556 | Path: C:\WINDOWS\system32\fontdrvhost.exe
Name: GameInputRedistService | ID: 5264 | Path: C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe
Name: GameInputRedistService | ID: 6336 | Path: C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe
Name: GameInputSvc | ID: 15900 | Path: C:\WINDOWS\System32\GameInputSvc.exe
Name: GameInputSvc | ID: 15928 | Path: C:\WINDOWS\System32\GameInputSvc.exe
Name: gamingservices | ID: 8216 | Path: C:\Program Files\WindowsApps\Microsoft.GamingServices_37.114.10001.0_x64__8wekyb3d8bbwe\GamingServices.exe
Name: gamingservicesnet | ID: 8712 | Path: C:\Program Files\WindowsApps\Microsoft.GamingServices_37.114.10001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe
Name: helperservice | ID: 2252 | Path: C:\Program Files\Softdeluxe\Free Download Manager\helperservice.exe
Name: HP.HPX | ID: 21876 | Path: C:\Program Files\WindowsApps\AD2F1837.myHP_57.52623.7882.0_x64__v10z8vjag6ke6\HP.HPX.exe
Name: HPCommRecovery | ID: 5412 | Path: C:\Program Files\HPCommRecovery\HPCommRecovery.exe
Name: HPMediaNetwork | ID: 10668 | Path: C:\Program Files\HP\HP Media Network\HPMediaNetwork.exe
Name: hp-one-agent-service | ID: 3816 | Path: C:\Program Files\HP\HP One Agent\hp-one-agent-service.exe
Name: HPPrintScanDoctorService | ID: 5428 | Path: C:\Program Files\HPPrintScanDoctor\HPPrintScanDoctorService.exe
Name: HPSystemEventUtilityBackground | ID: 3132 | Path: C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.24.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityBackground.exe
Name: HPSystemEventUtilityHost | ID: 20344 | Path: C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.24.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityHost.exe
Name: Idle | ID: 0 | Path: 
Name: IntelAudioService | ID: 5492 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\intcoed.inf_amd64_f1ee27a36959d31b\AS\IAS\IntelAudioService.exe
Name: IntelCpHDCPSvc | ID: 2232 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_0fdf6ce291234272\IntelCpHDCPSvc.exe
Name: IntelGraphicsSoftware | ID: 18876 | Path: C:\Program Files\Intel\Intel Graphics Software\IntelGraphicsSoftware.exe
Name: IntelGraphicsSoftware.Service | ID: 5592 | Path: C:\Program Files\Intel\Intel Graphics Software\IntelGraphicsSoftware.Service.exe
Name: ipf_helper | ID: 7780 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_fe2967a6eb0d3a7d\ipf_helper.exe
Name: ipf_uf | ID: 5824 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_fe2967a6eb0d3a7d\ipf_uf.exe
Name: jhi_service | ID: 5832 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_8a3f88e34f6b8385\jhi_service.exe
Name: language_server_windows_x64 | ID: 20640 | Path: c:\Users\sharm\AppData\Local\Programs\Antigravity IDE\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe
Name: language_server_windows_x64 | ID: 31764 | Path: c:\Users\sharm\AppData\Local\Programs\Antigravity IDE\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe
Name: Lightshot | ID: 19968 | Path: C:\Program Files (x86)\Skillbrains\lightshot\5.5.0.7\Lightshot.exe
Name: LsaIso | ID: 1316 | Path: 
Name: lsass | ID: 1324 | Path: 
Name: M365Copilot | ID: 27408 | Path: C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2606.50021.0_x64__8wekyb3d8bbwe\M365Copilot.exe
Name: Memory Compression | ID: 3348 | Path: 
Name: mongod | ID: 6024 | Path: C:\Program Files\MongoDB\Server\8.2\bin\mongod.exe
Name: MpDefenderCoreService | ID: 5892 | Path: 
Name: msedge | ID: 5052 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 7656 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 9300 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 10616 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 11772 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 14328 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 16940 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 17608 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 18772 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedge | ID: 20988 | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Name: msedgewebview2 | ID: 1868 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 9928 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 9976 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 10512 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 10752 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
